,Statistic,Year,State,UNIT,VALUE
521,Crops - Mushrooms,1999,State,Euro Million,111.4
522,Crops - Mushrooms,2000,State,Euro Million,114.8
523,Crops - Mushrooms,2001,State,Euro Million,115.6
524,Crops - Mushrooms,2002,State,Euro Million,137.7
525,Crops - Mushrooms,2003,State,Euro Million,124.5
526,Crops - Mushrooms,2004,State,Euro Million,114.7
527,Crops - Mushrooms,2005,State,Euro Million,110.0
528,Crops - Mushrooms,2006,State,Euro Million,99.9
529,Crops - Mushrooms,2007,State,Euro Million,99.6
530,Crops - Mushrooms,2008,State,Euro Million,102.8
531,Crops - Mushrooms,2009,State,Euro Million,98.8
532,Crops - Mushrooms,2010,State,Euro Million,98.5
533,Crops - Mushrooms,2011,State,Euro Million,100.2
534,Crops - Mushrooms,2012,State,Euro Million,111.9
535,Crops - Mushrooms,2013,State,Euro Million,121.5
536,Crops - Mushrooms,2014,State,Euro Million,133.2
537,Crops - Mushrooms,2015,State,Euro Million,137.0
538,Crops - Mushrooms,2016,State,Euro Million,121.7
539,Crops - Mushrooms,2017,State,Euro Million,118.2
540,Crops - Mushrooms,2018,State,Euro Million,117.1
541,Crops - Mushrooms,2019,State,Euro Million,119.2
542,Crops - Mushrooms,2020,State,Euro Million,123.8
543,Crops - Mushrooms,2021,State,Euro Million,
544,Crops - Other Fresh Vegetables,1990,State,Euro Million,54.0
545,Crops - Other Fresh Vegetables,1991,State,Euro Million,58.8
546,Crops - Other Fresh Vegetables,1992,State,Euro Million,52.6
547,Crops - Other Fresh Vegetables,1993,State,Euro Million,57.4
548,Crops - Other Fresh Vegetables,1994,State,Euro Million,61.2
549,Crops - Other Fresh Vegetables,1995,State,Euro Million,57.2
550,Crops - Other Fresh Vegetables,1996,State,Euro Million,67.9
551,Crops - Other Fresh Vegetables,1997,State,Euro Million,59.1
552,Crops - Other Fresh Vegetables,1998,State,Euro Million,61.1
553,Crops - Other Fresh Vegetables,1999,State,Euro Million,59.3
554,Crops - Other Fresh Vegetables,2000,State,Euro Million,74.1
555,Crops - Other Fresh Vegetables,2001,State,Euro Million,82.8
556,Crops - Other Fresh Vegetables,2002,State,Euro Million,73.5
557,Crops - Other Fresh Vegetables,2003,State,Euro Million,78.7
558,Crops - Other Fresh Vegetables,2004,State,Euro Million,84.2
559,Crops - Other Fresh Vegetables,2005,State,Euro Million,89.3
560,Crops - Other Fresh Vegetables,2006,State,Euro Million,89.6
561,Crops - Other Fresh Vegetables,2007,State,Euro Million,94.8
562,Crops - Other Fresh Vegetables,2008,State,Euro Million,94.7
563,Crops - Other Fresh Vegetables,2009,State,Euro Million,108.4
564,Crops - Other Fresh Vegetables,2010,State,Euro Million,87.9
565,Crops - Other Fresh Vegetables,2011,State,Euro Million,90.7
566,Crops - Other Fresh Vegetables,2012,State,Euro Million,83.5
567,Crops - Other Fresh Vegetables,2013,State,Euro Million,87.7
568,Crops - Other Fresh Vegetables,2014,State,Euro Million,93.9
569,Crops - Other Fresh Vegetables,2015,State,Euro Million,100.0
570,Crops - Other Fresh Vegetables,2016,State,Euro Million,106.3
571,Crops - Other Fresh Vegetables,2017,State,Euro Million,103.4
572,Crops - Other Fresh Vegetables,2018,State,Euro Million,109.1
573,Crops - Other Fresh Vegetables,2019,State,Euro Million,108.1
574,Crops - Other Fresh Vegetables,2020,State,Euro Million,115.5
575,Crops - Other Fresh Vegetables,2021,State,Euro Million,
576,Crops - Fresh Fruit,1990,State,Euro Million,13.0
577,Crops - Fresh Fruit,1991,State,Euro Million,14.1
578,Crops - Fresh Fruit,1992,State,Euro Million,11.7
579,Crops - Fresh Fruit,1993,State,Euro Million,9.8
580,Crops - Fresh Fruit,1994,State,Euro Million,14.3
581,Crops - Fresh Fruit,1995,State,Euro Million,18.5
582,Crops - Fresh Fruit,1996,State,Euro Million,20.5
583,Crops - Fresh Fruit,1997,State,Euro Million,9.6
584,Crops - Fresh Fruit,1998,State,Euro Million,15.5
585,Crops - Fresh Fruit,1999,State,Euro Million,8.4
586,Crops - Fresh Fruit,2000,State,Euro Million,7.1
587,Crops - Fresh Fruit,2001,State,Euro Million,17.0
588,Crops - Fresh Fruit,2002,State,Euro Million,22.9
589,Crops - Fresh Fruit,2003,State,Euro Million,30.4
590,Crops - Fresh Fruit,2004,State,Euro Million,28.9
591,Crops - Fresh Fruit,2005,State,Euro Million,34.0
592,Crops - Fresh Fruit,2006,State,Euro Million,40.8
593,Crops - Fresh Fruit,2007,State,Euro Million,33.0
594,Crops - Fresh Fruit,2008,State,Euro Million,33.2
595,Crops - Fresh Fruit,2009,State,Euro Million,32.5
596,Crops - Fresh Fruit,2010,State,Euro Million,35.2
597,Crops - Fresh Fruit,2011,State,Euro Million,34.9
598,Crops - Fresh Fruit,2012,State,Euro Million,46.4
599,Crops - Fresh Fruit,2013,State,Euro Million,48.9
600,Crops - Fresh Fruit,2014,State,Euro Million,49.9
601,Crops - Fresh Fruit,2015,State,Euro Million,50.8
602,Crops - Fresh Fruit,2016,State,Euro Million,51.1
603,Crops - Fresh Fruit,2017,State,Euro Million,54.4
604,Crops - Fresh Fruit,2018,State,Euro Million,51.3
605,Crops - Fresh Fruit,2019,State,Euro Million,55.1
606,Crops - Fresh Fruit,2020,State,Euro Million,56.1
607,Crops - Fresh Fruit,2021,State,Euro Million,
608,Crops - Turf,1990,State,Euro Million,44.8
609,Crops - Turf,1991,State,Euro Million,47.7
610,Crops - Turf,1992,State,Euro Million,45.8
611,Crops - Turf,1993,State,Euro Million,39.8
612,Crops - Turf,1994,State,Euro Million,30.6
613,Crops - Turf,1995,State,Euro Million,30.8
614,Crops - Turf,1996,State,Euro Million,30.2
615,Crops - Turf,1997,State,Euro Million,28.0
616,Crops - Turf,1998,State,Euro Million,22.0
617,Crops - Turf,1999,State,Euro Million,24.1
618,Crops - Turf,2000,State,Euro Million,22.5
619,Crops - Turf,2001,State,Euro Million,26.5
620,Crops - Turf,2002,State,Euro Million,27.9
621,Crops - Turf,2003,State,Euro Million,34.2
622,Crops - Turf,2004,State,Euro Million,33.5
623,Crops - Turf,2005,State,Euro Million,32.7
624,Crops - Turf,2006,State,Euro Million,35.9
625,Crops - Turf,2007,State,Euro Million,32.8
626,Crops - Turf,2008,State,Euro Million,33.2
627,Crops - Turf,2009,State,Euro Million,34.8
628,Crops - Turf,2010,State,Euro Million,34.2
629,Crops - Turf,2011,State,Euro Million,35.0
630,Crops - Turf,2012,State,Euro Million,32.6
631,Crops - Turf,2013,State,Euro Million,0.0
632,Crops - Turf,2014,State,Euro Million,0.0
633,Crops - Turf,2015,State,Euro Million,
634,Crops - Turf,2016,State,Euro Million,
635,Crops - Turf,2017,State,Euro Million,
636,Crops - Turf,2018,State,Euro Million,
637,Crops - Turf,2019,State,Euro Million,
638,Crops - Turf,2020,State,Euro Million,
639,Crops - Turf,2021,State,Euro Million,
640,Crops - Other Crops,1990,State,Euro Million,23.2
641,Crops - Other Crops,1991,State,Euro Million,22.8
642,Crops - Other Crops,1992,State,Euro Million,21.3
643,Crops - Other Crops,1993,State,Euro Million,20.6
644,Crops - Other Crops,1994,State,Euro Million,19.4
645,Crops - Other Crops,1995,State,Euro Million,27.1
646,Crops - Other Crops,1996,State,Euro Million,35.7
647,Crops - Other Crops,1997,State,Euro Million,36.4
648,Crops - Other Crops,1998,State,Euro Million,36.1
649,Crops - Other Crops,1999,State,Euro Million,44.2
650,Crops - Other Crops,2000,State,Euro Million,41.4
651,Crops - Other Crops,2001,State,Euro Million,42.7
652,Crops - Other Crops,2002,State,Euro Million,43.6
653,Crops - Other Crops,2003,State,Euro Million,44.7
654,Crops - Other Crops,2004,State,Euro Million,52.5
655,Crops - Other Crops,2005,State,Euro Million,51.5
656,Crops - Other Crops,2006,State,Euro Million,53.7
657,Crops - Other Crops,2007,State,Euro Million,62.7
658,Crops - Other Crops,2008,State,Euro Million,62.8
659,Crops - Other Crops,2009,State,Euro Million,57.3
660,Crops - Other Crops,2010,State,Euro Million,58.4
661,Crops - Other Crops,2011,State,Euro Million,72.1
662,Crops - Other Crops,2012,State,Euro Million,64.3
663,Crops - Other Crops,2013,State,Euro Million,60.1
664,Crops - Other Crops,2014,State,Euro Million,59.0
665,Crops - Other Crops,2015,State,Euro Million,65.2
666,Crops - Other Crops,2016,State,Euro Million,72.1
667,Crops - Other Crops,2017,State,Euro Million,79.2
668,Crops - Other Crops,2018,State,Euro Million,80.5
669,Crops - Other Crops,2019,State,Euro Million,82.3
670,Crops - Other Crops,2020,State,Euro Million,96.7
671,Crops - Other Crops,2021,State,Euro Million,
672,Crops - Forage Plants,1990,State,Euro Million,572.0
673,Crops - Forage Plants,1991,State,Euro Million,544.1
674,Crops - Forage Plants,1992,State,Euro Million,552.9
675,Crops - Forage Plants,1993,State,Euro Million,592.7
676,Crops - Forage Plants,1994,State,Euro Million,623.7
677,Crops - Forage Plants,1995,State,Euro Million,638.6
678,Crops - Forage Plants,1996,State,Euro Million,652.0
679,Crops - Forage Plants,1997,State,Euro Million,584.3
680,Crops - Forage Plants,1998,State,Euro Million,566.0
681,Crops - Forage Plants,1999,State,Euro Million,582.2
682,Crops - Forage Plants,2000,State,Euro Million,649.9
683,Crops - Forage Plants,2001,State,Euro Million,695.1
684,Crops - Forage Plants,2002,State,Euro Million,629.2
685,Crops - Forage Plants,2003,State,Euro Million,644.2
686,Crops - Forage Plants,2004,State,Euro Million,690.7
687,Crops - Forage Plants,2005,State,Euro Million,789.5
688,Crops - Forage Plants,2006,State,Euro Million,877.4
689,Crops - Forage Plants,2007,State,Euro Million,964.1
690,Crops - Forage Plants,2008,State,Euro Million,1053.6
691,Crops - Forage Plants,2009,State,Euro Million,852.3
692,Crops - Forage Plants,2010,State,Euro Million,1045.2
693,Crops - Forage Plants,2011,State,Euro Million,1007.3
694,Crops - Forage Plants,2012,State,Euro Million,1007.6
695,Crops - Forage Plants,2013,State,Euro Million,1294.3
696,Crops - Forage Plants,2014,State,Euro Million,1041.8
697,Crops - Forage Plants,2015,State,Euro Million,1004.0
698,Crops - Forage Plants,2016,State,Euro Million,1049.4
699,Crops - Forage Plants,2017,State,Euro Million,1105.7
700,Crops - Forage Plants,2018,State,Euro Million,1340.3
701,Crops - Forage Plants,2019,State,Euro Million,1045.4
702,Crops - Forage Plants,2020,State,Euro Million,1143.0
703,Crops - Forage Plants,2021,State,Euro Million,1200.3
704,Goods Output at Producer Prices,1990,State,Euro Million,4685.4
705,Goods Output at Producer Prices,1991,State,Euro Million,4543.3
706,Goods Output at Producer Prices,1992,State,Euro Million,4827.6
707,Goods Output at Producer Prices,1993,State,Euro Million,5028.0
708,Goods Output at Producer Prices,1994,State,Euro Million,4963.9
709,Goods Output at Producer Prices,1995,State,Euro Million,5147.1
710,Goods Output at Producer Prices,1996,State,Euro Million,5160.8
711,Goods Output at Producer Prices,1997,State,Euro Million,4759.0
712,Goods Output at Producer Prices,1998,State,Euro Million,4746.3
713,Goods Output at Producer Prices,1999,State,Euro Million,4690.3
714,Goods Output at Producer Prices,2000,State,Euro Million,4883.5
715,Goods Output at Producer Prices,2001,State,Euro Million,5101.8
716,Goods Output at Producer Prices,2002,State,Euro Million,4711.1
717,Goods Output at Producer Prices,2003,State,Euro Million,4838.7
718,Goods Output at Producer Prices,2004,State,Euro Million,5022.8
719,Goods Output at Producer Prices,2005,State,Euro Million,5041.4
720,Goods Output at Producer Prices,2006,State,Euro Million,5228.3
721,Goods Output at Producer Prices,2007,State,Euro Million,5727.5
722,Goods Output at Producer Prices,2008,State,Euro Million,5880.3
723,Goods Output at Producer Prices,2009,State,Euro Million,4754.6
724,Goods Output at Producer Prices,2010,State,Euro Million,5513.5
725,Goods Output at Producer Prices,2011,State,Euro Million,6251.8
726,Goods Output at Producer Prices,2012,State,Euro Million,6541.8
727,Goods Output at Producer Prices,2013,State,Euro Million,7346.3
728,Goods Output at Producer Prices,2014,State,Euro Million,6968.9
729,Goods Output at Producer Prices,2015,State,Euro Million,7139.1
730,Goods Output at Producer Prices,2016,State,Euro Million,7065.5
731,Goods Output at Producer Prices,2017,State,Euro Million,8085.7
732,Goods Output at Producer Prices,2018,State,Euro Million,8196.7
733,Goods Output at Producer Prices,2019,State,Euro Million,7955.7
734,Goods Output at Producer Prices,2020,State,Euro Million,8366.7
735,Goods Output at Producer Prices,2021,State,Euro Million,9472.5
736,Contract Work,1990,State,Euro Million,180.7
737,Contract Work,1991,State,Euro Million,172.0
738,Contract Work,1992,State,Euro Million,179.8
739,Contract Work,1993,State,Euro Million,199.5
740,Contract Work,1994,State,Euro Million,205.3
741,Contract Work,1995,State,Euro Million,212.5
742,Contract Work,1996,State,Euro Million,220.9
743,Contract Work,1997,State,Euro Million,225.2
744,Contract Work,1998,State,Euro Million,225.3
745,Contract Work,1999,State,Euro Million,245.4
746,Contract Work,2000,State,Euro Million,258.1
747,Contract Work,2001,State,Euro Million,279.3
748,Contract Work,2002,State,Euro Million,248.3
749,Contract Work,2003,State,Euro Million,247.9
750,Contract Work,2004,State,Euro Million,261.1
751,Contract Work,2005,State,Euro Million,270.1
752,Contract Work,2006,State,Euro Million,271.5
753,Contract Work,2007,State,Euro Million,288.3
754,Contract Work,2008,State,Euro Million,281.0
755,Contract Work,2009,State,Euro Million,268.7
756,Contract Work,2010,State,Euro Million,319.1
757,Contract Work,2011,State,Euro Million,335.4
758,Contract Work,2012,State,Euro Million,323.8
759,Contract Work,2013,State,Euro Million,365.8
760,Contract Work,2014,State,Euro Million,358.7
761,Contract Work,2015,State,Euro Million,348.0
762,Contract Work,2016,State,Euro Million,371.7
763,Contract Work,2017,State,Euro Million,379.8
764,Contract Work,2018,State,Euro Million,453.2
765,Contract Work,2019,State,Euro Million,461.2
766,Contract Work,2020,State,Euro Million,447.0
767,Contract Work,2021,State,Euro Million,447.0
768,Subsidies on Products,1990,State,Euro Million,408.9
769,Subsidies on Products,1991,State,Euro Million,357.3
770,Subsidies on Products,1992,State,Euro Million,446.0
771,Subsidies on Products,1993,State,Euro Million,466.4
772,Subsidies on Products,1994,State,Euro Million,666.0
773,Subsidies on Products,1995,State,Euro Million,735.6
774,Subsidies on Products,1996,State,Euro Million,806.0
775,Subsidies on Products,1997,State,Euro Million,808.7
776,Subsidies on Products,1998,State,Euro Million,899.6
777,Subsidies on Products,1999,State,Euro Million,743.7
778,Subsidies on Products,2000,State,Euro Million,876.7
779,Subsidies on Products,2001,State,Euro Million,710.8
780,Subsidies on Products,2002,State,Euro Million,904.1
781,Subsidies on Products,2003,State,Euro Million,928.4
782,Subsidies on Products,2004,State,Euro Million,912.1
783,Subsidies on Products,2005,State,Euro Million,453.4
784,Subsidies on Products,2006,State,Euro Million,3.8
785,Subsidies on Products,2007,State,Euro Million,0.7
786,Subsidies on Products,2008,State,Euro Million,32.4
787,Subsidies on Products,2009,State,Euro Million,30.0
788,Subsidies on Products,2010,State,Euro Million,31.8
789,Subsidies on Products,2011,State,Euro Million,31.0
790,Subsidies on Products,2012,State,Euro Million,28.5
791,Subsidies on Products,2013,State,Euro Million,9.4
792,Subsidies on Products,2014,State,Euro Million,28.8
793,Subsidies on Products,2015,State,Euro Million,43.2
794,Subsidies on Products,2016,State,Euro Million,55.9
795,Subsidies on Products,2017,State,Euro Million,60.5
796,Subsidies on Products,2018,State,Euro Million,65.1
797,Subsidies on Products,2019,State,Euro Million,150.6
798,Subsidies on Products,2020,State,Euro Million,147.2
799,Subsidies on Products,2021,State,Euro Million,
800,Taxes on Products,1990,State,Euro Million,75.0
801,Taxes on Products,1991,State,Euro Million,78.2
802,Taxes on Products,1992,State,Euro Million,79.5
803,Taxes on Products,1993,State,Euro Million,68.0
804,Taxes on Products,1994,State,Euro Million,53.7
805,Taxes on Products,1995,State,Euro Million,59.6
806,Taxes on Products,1996,State,Euro Million,53.0
807,Taxes on Products,1997,State,Euro Million,39.8
808,Taxes on Products,1998,State,Euro Million,39.4
809,Taxes on Products,1999,State,Euro Million,27.9
810,Taxes on Products,2000,State,Euro Million,32.8
811,Taxes on Products,2001,State,Euro Million,25.0
812,Taxes on Products,2002,State,Euro Million,27.4
813,Taxes on Products,2003,State,Euro Million,35.8
814,Taxes on Products,2004,State,Euro Million,39.1
815,Taxes on Products,2005,State,Euro Million,54.2
816,Taxes on Products,2006,State,Euro Million,36.8
817,Taxes on Products,2007,State,Euro Million,41.1
818,Taxes on Products,2008,State,Euro Million,50.7
819,Taxes on Products,2009,State,Euro Million,39.3
820,Taxes on Products,2010,State,Euro Million,42.3
821,Taxes on Products,2011,State,Euro Million,42.0
822,Taxes on Products,2012,State,Euro Million,56.7
823,Taxes on Products,2013,State,Euro Million,49.8
824,Taxes on Products,2014,State,Euro Million,62.5
825,Taxes on Products,2015,State,Euro Million,126.2
826,Taxes on Products,2016,State,Euro Million,48.8
827,Taxes on Products,2017,State,Euro Million,49.5
828,Taxes on Products,2018,State,Euro Million,51.2
829,Taxes on Products,2019,State,Euro Million,51.1
830,Taxes on Products,2020,State,Euro Million,52.6
831,Taxes on Products,2021,State,Euro Million,
832,Subsidies less Taxes on Products,1990,State,Euro Million,333.9
833,Subsidies less Taxes on Products,1991,State,Euro Million,279.1
834,Subsidies less Taxes on Products,1992,State,Euro Million,366.6
835,Subsidies less Taxes on Products,1993,State,Euro Million,398.4
836,Subsidies less Taxes on Products,1994,State,Euro Million,612.3
837,Subsidies less Taxes on Products,1995,State,Euro Million,676.0
838,Subsidies less Taxes on Products,1996,State,Euro Million,753.0
839,Subsidies less Taxes on Products,1997,State,Euro Million,769.0
840,Subsidies less Taxes on Products,1998,State,Euro Million,860.2
841,Subsidies less Taxes on Products,1999,State,Euro Million,715.8
842,Subsidies less Taxes on Products,2000,State,Euro Million,843.8
843,Subsidies less Taxes on Products,2001,State,Euro Million,685.8
844,Subsidies less Taxes on Products,2002,State,Euro Million,876.7
845,Subsidies less Taxes on Products,2003,State,Euro Million,892.5
846,Subsidies less Taxes on Products,2004,State,Euro Million,873.0
847,Subsidies less Taxes on Products,2005,State,Euro Million,399.2
848,Subsidies less Taxes on Products,2006,State,Euro Million,-33.1
849,Subsidies less Taxes on Products,2007,State,Euro Million,-40.4
850,Subsidies less Taxes on Products,2008,State,Euro Million,-18.3
851,Subsidies less Taxes on Products,2009,State,Euro Million,-9.3
852,Subsidies less Taxes on Products,2010,State,Euro Million,-10.5
853,Subsidies less Taxes on Products,2011,State,Euro Million,-11.0
854,Subsidies less Taxes on Products,2012,State,Euro Million,-28.1
855,Subsidies less Taxes on Products,2013,State,Euro Million,-40.5
856,Subsidies less Taxes on Products,2014,State,Euro Million,-33.7
857,Subsidies less Taxes on Products,2015,State,Euro Million,-82.9
858,Subsidies less Taxes on Products,2016,State,Euro Million,7.1
859,Subsidies less Taxes on Products,2017,State,Euro Million,11.0
860,Subsidies less Taxes on Products,2018,State,Euro Million,13.9
861,Subsidies less Taxes on Products,2019,State,Euro Million,99.5
862,Subsidies less Taxes on Products,2020,State,Euro Million,94.6
863,Subsidies less Taxes on Products,2021,State,Euro Million,53.4
864,Agricultural Output at Basic Prices,1990,State,Euro Million,5200.0
865,Agricultural Output at Basic Prices,1991,State,Euro Million,4994.4
866,Agricultural Output at Basic Prices,1992,State,Euro Million,5374.0
867,Agricultural Output at Basic Prices,1993,State,Euro Million,5625.9
868,Agricultural Output at Basic Prices,1994,State,Euro Million,5781.5
869,Agricultural Output at Basic Prices,1995,State,Euro Million,6035.5
870,Agricultural Output at Basic Prices,1996,State,Euro Million,6134.7
871,Agricultural Output at Basic Prices,1997,State,Euro Million,5753.1
872,Agricultural Output at Basic Prices,1998,State,Euro Million,5831.7
873,Agricultural Output at Basic Prices,1999,State,Euro Million,5651.4
874,Agricultural Output at Basic Prices,2000,State,Euro Million,5985.5
875,Agricultural Output at Basic Prices,2001,State,Euro Million,6066.8
876,Agricultural Output at Basic Prices,2002,State,Euro Million,5836.1
877,Agricultural Output at Basic Prices,2003,State,Euro Million,5979.1
878,Agricultural Output at Basic Prices,2004,State,Euro Million,6156.9
879,Agricultural Output at Basic Prices,2005,State,Euro Million,5710.7
880,Agricultural Output at Basic Prices,2006,State,Euro Million,5466.7
881,Agricultural Output at Basic Prices,2007,State,Euro Million,5975.4
882,Agricultural Output at Basic Prices,2008,State,Euro Million,6143.0
883,Agricultural Output at Basic Prices,2009,State,Euro Million,5014.0
884,Agricultural Output at Basic Prices,2010,State,Euro Million,5822.1
885,Agricultural Output at Basic Prices,2011,State,Euro Million,6576.2
886,Agricultural Output at Basic Prices,2012,State,Euro Million,6837.5
887,Agricultural Output at Basic Prices,2013,State,Euro Million,7671.6
888,Agricultural Output at Basic Prices,2014,State,Euro Million,7293.9
889,Agricultural Output at Basic Prices,2015,State,Euro Million,7404.2
890,Agricultural Output at Basic Prices,2016,State,Euro Million,7444.2
891,Agricultural Output at Basic Prices,2017,State,Euro Million,8476.4
892,Agricultural Output at Basic Prices,2018,State,Euro Million,8663.7
893,Agricultural Output at Basic Prices,2019,State,Euro Million,8516.4
894,Agricultural Output at Basic Prices,2020,State,Euro Million,8908.3
895,Agricultural Output at Basic Prices,2021,State,Euro Million,9972.9
896,Intermediate Consumption,1990,State,Euro Million,2461.9
897,Intermediate Consumption,1991,State,Euro Million,2423.3
898,Intermediate Consumption,1992,State,Euro Million,2438.9
899,Intermediate Consumption,1993,State,Euro Million,2607.9
900,Intermediate Consumption,1994,State,Euro Million,2796.3
901,Intermediate Consumption,1995,State,Euro Million,2926.9
902,Intermediate Consumption,1996,State,Euro Million,3098.9
903,Intermediate Consumption,1997,State,Euro Million,2929.9
904,Intermediate Consumption,1998,State,Euro Million,3015.1
905,Intermediate Consumption,1999,State,Euro Million,3111.0
906,Intermediate Consumption,2000,State,Euro Million,3207.5
907,Intermediate Consumption,2001,State,Euro Million,3469.4
908,Intermediate Consumption,2002,State,Euro Million,3413.3
909,Intermediate Consumption,2003,State,Euro Million,3464.7
910,Intermediate Consumption,2004,State,Euro Million,3516.1
911,Intermediate Consumption,2005,State,Euro Million,3744.7
912,Intermediate Consumption,2006,State,Euro Million,4014.7
913,Intermediate Consumption,2007,State,Euro Million,4225.7
914,Intermediate Consumption,2008,State,Euro Million,4700.0
915,Intermediate Consumption,2009,State,Euro Million,4190.6
916,Intermediate Consumption,2010,State,Euro Million,4433.4
917,Intermediate Consumption,2011,State,Euro Million,4706.8
918,Intermediate Consumption,2012,State,Euro Million,5054.0
919,Intermediate Consumption,2013,State,Euro Million,5670.0
920,Intermediate Consumption,2014,State,Euro Million,5119.8
921,Intermediate Consumption,2015,State,Euro Million,4932.6
922,Intermediate Consumption,2016,State,Euro Million,5085.1
923,Intermediate Consumption,2017,State,Euro Million,5317.9
924,Intermediate Consumption,2018,State,Euro Million,6044.1
925,Intermediate Consumption,2019,State,Euro Million,5662.2
926,Intermediate Consumption,2020,State,Euro Million,5679.9
927,Intermediate Consumption,2021,State,Euro Million,6072.2
928,Intermediate Consumption - Feeding Stuffs,1990,State,Euro Million,642.2
929,Intermediate Consumption - Feeding Stuffs,1991,State,Euro Million,646.5
930,Intermediate Consumption - Feeding Stuffs,1992,State,Euro Million,668.5
931,Intermediate Consumption - Feeding Stuffs,1993,State,Euro Million,733.5
932,Intermediate Consumption - Feeding Stuffs,1994,State,Euro Million,818.6
933,Intermediate Consumption - Feeding Stuffs,1995,State,Euro Million,809.5
934,Intermediate Consumption - Feeding Stuffs,1996,State,Euro Million,808.8
935,Intermediate Consumption - Feeding Stuffs,1997,State,Euro Million,749.7
936,Intermediate Consumption - Feeding Stuffs,1998,State,Euro Million,831.2
937,Intermediate Consumption - Feeding Stuffs,1999,State,Euro Million,860.9
938,Intermediate Consumption - Feeding Stuffs,2000,State,Euro Million,829.9
939,Intermediate Consumption - Feeding Stuffs,2001,State,Euro Million,882.0
940,Intermediate Consumption - Feeding Stuffs,2002,State,Euro Million,955.9
941,Intermediate Consumption - Feeding Stuffs,2003,State,Euro Million,923.0
942,Intermediate Consumption - Feeding Stuffs,2004,State,Euro Million,903.9
943,Intermediate Consumption - Feeding Stuffs,2005,State,Euro Million,865.1
944,Intermediate Consumption - Feeding Stuffs,2006,State,Euro Million,962.4
945,Intermediate Consumption - Feeding Stuffs,2007,State,Euro Million,1024.8
946,Intermediate Consumption - Feeding Stuffs,2008,State,Euro Million,1184.3
947,Intermediate Consumption - Feeding Stuffs,2009,State,Euro Million,1048.9
948,Intermediate Consumption - Feeding Stuffs,2010,State,Euro Million,1001.9
949,Intermediate Consumption - Feeding Stuffs,2011,State,Euro Million,1142.3
950,Intermediate Consumption - Feeding Stuffs,2012,State,Euro Million,1428.4
951,Intermediate Consumption - Feeding Stuffs,2013,State,Euro Million,1582.5
952,Intermediate Consumption - Feeding Stuffs,2014,State,Euro Million,1296.6
953,Intermediate Consumption - Feeding Stuffs,2015,State,Euro Million,1180.3
954,Intermediate Consumption - Feeding Stuffs,2016,State,Euro Million,1228.7
955,Intermediate Consumption - Feeding Stuffs,2017,State,Euro Million,1324.3
956,Intermediate Consumption - Feeding Stuffs,2018,State,Euro Million,1674.6
957,Intermediate Consumption - Feeding Stuffs,2019,State,Euro Million,1489.9
958,Intermediate Consumption - Feeding Stuffs,2020,State,Euro Million,1525.2
959,Intermediate Consumption - Feeding Stuffs,2021,State,Euro Million,1785.6
960,Intermediate Consumption - Fertilisers,1990,State,Euro Million,326.0
961,Intermediate Consumption - Fertilisers,1991,State,Euro Million,319.1
962,Intermediate Consumption - Fertilisers,1992,State,Euro Million,305.1
963,Intermediate Consumption - Fertilisers,1993,State,Euro Million,301.2
964,Intermediate Consumption - Fertilisers,1994,State,Euro Million,316.3
965,Intermediate Consumption - Fertilisers,1995,State,Euro Million,369.6
966,Intermediate Consumption - Fertilisers,1996,State,Euro Million,386.1
967,Intermediate Consumption - Fertilisers,1997,State,Euro Million,330.6
968,Intermediate Consumption - Fertilisers,1998,State,Euro Million,329.0
969,Intermediate Consumption - Fertilisers,1999,State,Euro Million,339.0
970,Intermediate Consumption - Fertilisers,2000,State,Euro Million,338.7
971,Intermediate Consumption - Fertilisers,2001,State,Euro Million,350.7
972,Intermediate Consumption - Fertilisers,2002,State,Euro Million,341.4
973,Intermediate Consumption - Fertilisers,2003,State,Euro Million,371.3
974,Intermediate Consumption - Fertilisers,2004,State,Euro Million,358.0
975,Intermediate Consumption - Fertilisers,2005,State,Euro Million,363.0
976,Intermediate Consumption - Fertilisers,2006,State,Euro Million,379.2
977,Intermediate Consumption - Fertilisers,2007,State,Euro Million,360.1
978,Intermediate Consumption - Fertilisers,2008,State,Euro Million,517.2
979,Intermediate Consumption - Fertilisers,2009,State,Euro Million,420.6
980,Intermediate Consumption - Fertilisers,2010,State,Euro Million,450.3
981,Intermediate Consumption - Fertilisers,2011,State,Euro Million,493.7
982,Intermediate Consumption - Fertilisers,2012,State,Euro Million,492.0
983,Intermediate Consumption - Fertilisers,2013,State,Euro Million,613.9
984,Intermediate Consumption - Fertilisers,2014,State,Euro Million,565.6
985,Intermediate Consumption - Fertilisers,2015,State,Euro Million,565.1
986,Intermediate Consumption - Fertilisers,2016,State,Euro Million,510.8
987,Intermediate Consumption - Fertilisers,2017,State,Euro Million,513.0
988,Intermediate Consumption - Fertilisers,2018,State,Euro Million,582.1
989,Intermediate Consumption - Fertilisers,2019,State,Euro Million,578.3
990,Intermediate Consumption - Fertilisers,2020,State,Euro Million,532.3
991,Intermediate Consumption - Fertilisers,2021,State,Euro Million,591.0
992,Intermediate Consumption - Financial Intermediation Services Indirect,1990,State,Euro Million,34.0
993,Intermediate Consumption - Financial Intermediation Services Indirect,1991,State,Euro Million,39.0
994,Intermediate Consumption - Financial Intermediation Services Indirect,1992,State,Euro Million,43.0
995,Intermediate Consumption - Financial Intermediation Services Indirect,1993,State,Euro Million,49.0
