Statistic,Year,Type of Land Use,Region,UNIT,VALUE
Area Farmed in June,2015,Arable silage,Southern,000 Hectares,1.6
Area Farmed in June,2015,Arable silage,Mid-West,000 Hectares,0.3
Area Farmed in June,2015,Arable silage,South-East,000 Hectares,0.7
Area Farmed in June,2015,Arable silage,South-West,000 Hectares,0.7
Area Farmed in June,2015,Arable silage,Eastern and Midland,000 Hectares,1.0
Area Farmed in June,2015,Arable silage,Dublin and Mid-East,000 Hectares,0.5
Area Farmed in June,2015,Arable silage,Midland,000 Hectares,0.5
Area Farmed in June,2015,Maize silage,State,000 Hectares,12.9
Area Farmed in June,2015,Maize silage,Northern and Western,000 Hectares,0.3
Area Farmed in June,2015,Maize silage,Border,000 Hectares,0.2
Area Farmed in June,2015,Maize silage,West,000 Hectares,0.1
Area Farmed in June,2015,Maize silage,Southern,000 Hectares,8.1
Area Farmed in June,2015,Maize silage,Mid-West,000 Hectares,1.2
Area Farmed in June,2015,Maize silage,South-East,000 Hectares,3.2
Area Farmed in June,2015,Maize silage,South-West,000 Hectares,3.7
Area Farmed in June,2015,Maize silage,Eastern and Midland,000 Hectares,4.5
Area Farmed in June,2015,Maize silage,Dublin and Mid-East,000 Hectares,3.7
Area Farmed in June,2015,Maize silage,Midland,000 Hectares,0.8
Area Farmed in June,2015,Fodder rape and kale,State,000 Hectares,1.7
Area Farmed in June,2015,Fodder rape and kale,Northern and Western,000 Hectares,0.3
Area Farmed in June,2015,Fodder rape and kale,Border,000 Hectares,0.0
Area Farmed in June,2015,Fodder rape and kale,West,000 Hectares,0.3
Area Farmed in June,2015,Fodder rape and kale,Southern,000 Hectares,0.9
Area Farmed in June,2015,Fodder rape and kale,Mid-West,000 Hectares,0.2
Area Farmed in June,2015,Fodder rape and kale,South-East,000 Hectares,0.4
Area Farmed in June,2015,Fodder rape and kale,South-West,000 Hectares,0.3
Area Farmed in June,2015,Fodder rape and kale,Eastern and Midland,000 Hectares,0.5
Area Farmed in June,2015,Fodder rape and kale,Dublin and Mid-East,000 Hectares,0.3
Area Farmed in June,2015,Fodder rape and kale,Midland,000 Hectares,0.3
Area Farmed in June,2015,Potatoes,State,000 Hectares,8.5
Area Farmed in June,2015,Potatoes,Northern and Western,000 Hectares,1.0
Area Farmed in June,2015,Potatoes,Border,000 Hectares,1.0
Area Farmed in June,2015,Potatoes,West,000 Hectares,0.1
Area Farmed in June,2015,Potatoes,Southern,000 Hectares,2.8
Area Farmed in June,2015,Potatoes,Mid-West,000 Hectares,0.3
Area Farmed in June,2015,Potatoes,South-East,000 Hectares,1.7
Area Farmed in June,2015,Potatoes,South-West,000 Hectares,0.7
Area Farmed in June,2015,Potatoes,Eastern and Midland,000 Hectares,4.7
Area Farmed in June,2015,Potatoes,Dublin and Mid-East,000 Hectares,4.5
Area Farmed in June,2015,Potatoes,Midland,000 Hectares,0.2
Area Farmed in June,2015,Turnips,State,000 Hectares,1.1
Area Farmed in June,2015,Turnips,Northern and Western,000 Hectares,0.1
Area Farmed in June,2015,Turnips,Border,000 Hectares,0.0
Area Farmed in June,2015,Turnips,West,000 Hectares,0.1
Area Farmed in June,2015,Turnips,Southern,000 Hectares,0.5
Area Farmed in June,2015,Turnips,Mid-West,000 Hectares,0.0
Area Farmed in June,2015,Turnips,South-East,000 Hectares,0.4
Area Farmed in June,2015,Turnips,South-West,000 Hectares,0.2
Area Farmed in June,2015,Turnips,Eastern and Midland,000 Hectares,0.5
Area Farmed in June,2015,Turnips,Dublin and Mid-East,000 Hectares,0.4
Area Farmed in June,2015,Turnips,Midland,000 Hectares,0.1
Area Farmed in June,2015,Beet,State,000 Hectares,9.6
Area Farmed in June,2015,Beet,Northern and Western,000 Hectares,0.2
Area Farmed in June,2015,Beet,Border,000 Hectares,0.0
Area Farmed in June,2015,Beet,West,000 Hectares,0.2
Area Farmed in June,2015,Beet,Southern,000 Hectares,6.8
Area Farmed in June,2015,Beet,Mid-West,000 Hectares,0.6
Area Farmed in June,2015,Beet,South-East,000 Hectares,3.4
Area Farmed in June,2015,Beet,South-West,000 Hectares,2.7
Area Farmed in June,2015,Beet,Eastern and Midland,000 Hectares,2.7
Area Farmed in June,2015,Beet,Dublin and Mid-East,000 Hectares,1.2
Area Farmed in June,2015,Beet,Midland,000 Hectares,1.5
Area Farmed in June,2015,Vegetables for sale,State,000 Hectares,3.2
Area Farmed in June,2015,Vegetables for sale,Northern and Western,000 Hectares,0.1
Area Farmed in June,2015,Vegetables for sale,Border,000 Hectares,0.0
Area Farmed in June,2015,Vegetables for sale,West,000 Hectares,0.1
Area Farmed in June,2015,Vegetables for sale,Southern,000 Hectares,1.0
Area Farmed in June,2015,Vegetables for sale,Mid-West,000 Hectares,0.1
Area Farmed in June,2015,Vegetables for sale,South-East,000 Hectares,0.7
Area Farmed in June,2015,Vegetables for sale,South-West,000 Hectares,0.3
Area Farmed in June,2015,Vegetables for sale,Eastern and Midland,000 Hectares,2.1
Area Farmed in June,2015,Vegetables for sale,Dublin and Mid-East,000 Hectares,1.9
Area Farmed in June,2015,Vegetables for sale,Midland,000 Hectares,0.2
Area Farmed in June,2015,Fruit,State,000 Hectares,0.9
Area Farmed in June,2015,Fruit,Northern and Western,000 Hectares,0.1
Area Farmed in June,2015,Fruit,Border,000 Hectares,0.0
Area Farmed in June,2015,Fruit,West,000 Hectares,0.0
Area Farmed in June,2015,Fruit,Southern,000 Hectares,0.5
Area Farmed in June,2015,Fruit,Mid-West,000 Hectares,0.1
Area Farmed in June,2015,Fruit,South-East,000 Hectares,0.3
Area Farmed in June,2015,Fruit,South-West,000 Hectares,0.1
Area Farmed in June,2015,Fruit,Eastern and Midland,000 Hectares,0.4
Area Farmed in June,2015,Fruit,Dublin and Mid-East,000 Hectares,0.3
Area Farmed in June,2015,Fruit,Midland,000 Hectares,0.0
Area Farmed in June,2015,"Nurseries, horticulture etc.",State,000 Hectares,0.5
Area Farmed in June,2015,"Nurseries, horticulture etc.",Northern and Western,000 Hectares,0.0
Area Farmed in June,2015,"Nurseries, horticulture etc.",Border,000 Hectares,0.0
Area Farmed in June,2015,"Nurseries, horticulture etc.",West,000 Hectares,0.0
Area Farmed in June,2015,"Nurseries, horticulture etc.",Southern,000 Hectares,0.4
Area Farmed in June,2015,"Nurseries, horticulture etc.",Mid-West,000 Hectares,0.1
Area Farmed in June,2015,"Nurseries, horticulture etc.",South-East,000 Hectares,0.2
Area Farmed in June,2015,"Nurseries, horticulture etc.",South-West,000 Hectares,0.1
Area Farmed in June,2015,"Nurseries, horticulture etc.",Eastern and Midland,000 Hectares,0.1
Area Farmed in June,2015,"Nurseries, horticulture etc.",Dublin and Mid-East,000 Hectares,0.1
Area Farmed in June,2015,"Nurseries, horticulture etc.",Midland,000 Hectares,0.0
Area Farmed in June,2015,Other crops,State,000 Hectares,7.7
Area Farmed in June,2015,Other crops,Northern and Western,000 Hectares,1.1
Area Farmed in June,2015,Other crops,Border,000 Hectares,0.6
Area Farmed in June,2015,Other crops,West,000 Hectares,0.5
Area Farmed in June,2015,Other crops,Southern,000 Hectares,3.4
Area Farmed in June,2015,Other crops,Mid-West,000 Hectares,0.9
Area Farmed in June,2015,Other crops,South-East,000 Hectares,1.9
Area Farmed in June,2015,Other crops,South-West,000 Hectares,0.7
Area Farmed in June,2015,Other crops,Eastern and Midland,000 Hectares,3.1
Area Farmed in June,2015,Other crops,Dublin and Mid-East,000 Hectares,2.3
Area Farmed in June,2015,Other crops,Midland,000 Hectares,0.8
Area Farmed in June,2015,Total cereals,State,000 Hectares,292.4
Area Farmed in June,2015,Total cereals,Northern and Western,000 Hectares,11.2
Area Farmed in June,2015,Total cereals,Border,000 Hectares,6.1
Area Farmed in June,2015,Total cereals,West,000 Hectares,5.0
Area Farmed in June,2015,Total cereals,Southern,000 Hectares,150.6
Area Farmed in June,2015,Total cereals,Mid-West,000 Hectares,23.7
Area Farmed in June,2015,Total cereals,South-East,000 Hectares,85.2
Area Farmed in June,2015,Total cereals,South-West,000 Hectares,41.7
Area Farmed in June,2015,Total cereals,Eastern and Midland,000 Hectares,130.7
Area Farmed in June,2015,Total cereals,Dublin and Mid-East,000 Hectares,99.2
Area Farmed in June,2015,Total cereals,Midland,000 Hectares,31.4
Area Farmed in June,2015,Total wheat,State,000 Hectares,65.3
Area Farmed in June,2015,Total wheat,Northern and Western,000 Hectares,0.9
Area Farmed in June,2015,Total wheat,Border,000 Hectares,0.6
Area Farmed in June,2015,Total wheat,West,000 Hectares,0.3
Area Farmed in June,2015,Total wheat,Southern,000 Hectares,22.9
Area Farmed in June,2015,Total wheat,Mid-West,000 Hectares,4.6
Area Farmed in June,2015,Total wheat,South-East,000 Hectares,11.7
Area Farmed in June,2015,Total wheat,South-West,000 Hectares,6.5
Area Farmed in June,2015,Total wheat,Eastern and Midland,000 Hectares,41.6
Area Farmed in June,2015,Total wheat,Dublin and Mid-East,000 Hectares,36.8
Area Farmed in June,2015,Total wheat,Midland,000 Hectares,4.8
Area Farmed in June,2015,Winter wheat,State,000 Hectares,55.3
Area Farmed in June,2015,Winter wheat,Northern and Western,000 Hectares,0.7
Area Farmed in June,2015,Winter wheat,Border,000 Hectares,0.5
Area Farmed in June,2015,Winter wheat,West,000 Hectares,0.2
Area Farmed in June,2015,Winter wheat,Southern,000 Hectares,17.1
Area Farmed in June,2015,Winter wheat,Mid-West,000 Hectares,4.0
Area Farmed in June,2015,Winter wheat,South-East,000 Hectares,9.0
Area Farmed in June,2015,Winter wheat,South-West,000 Hectares,4.1
Area Farmed in June,2015,Winter wheat,Eastern and Midland,000 Hectares,37.5
Area Farmed in June,2015,Winter wheat,Dublin and Mid-East,000 Hectares,33.6
Area Farmed in June,2015,Winter wheat,Midland,000 Hectares,3.9
Area Farmed in June,2015,Spring wheat,State,000 Hectares,10.1
Area Farmed in June,2015,Spring wheat,Northern and Western,000 Hectares,0.2
Area Farmed in June,2015,Spring wheat,Border,000 Hectares,0.1
Area Farmed in June,2015,Spring wheat,West,000 Hectares,0.1
Area Farmed in June,2015,Spring wheat,Southern,000 Hectares,5.8
Area Farmed in June,2015,Spring wheat,Mid-West,000 Hectares,0.6
Area Farmed in June,2015,Spring wheat,South-East,000 Hectares,2.7
Area Farmed in June,2015,Spring wheat,South-West,000 Hectares,2.5
Area Farmed in June,2015,Spring wheat,Eastern and Midland,000 Hectares,4.1
Area Farmed in June,2015,Spring wheat,Dublin and Mid-East,000 Hectares,3.3
Area Farmed in June,2015,Spring wheat,Midland,000 Hectares,0.8
Area Farmed in June,2015,Total oats,State,000 Hectares,23.4
Area Farmed in June,2015,Total oats,Northern and Western,000 Hectares,1.8
Area Farmed in June,2015,Total oats,Border,000 Hectares,0.8
Area Farmed in June,2015,Total oats,West,000 Hectares,1.0
Area Farmed in June,2015,Total oats,Southern,000 Hectares,11.9
Area Farmed in June,2015,Total oats,Mid-West,000 Hectares,1.9
Area Farmed in June,2015,Total oats,South-East,000 Hectares,7.1
Area Farmed in June,2015,Total oats,South-West,000 Hectares,2.9
Area Farmed in June,2015,Total oats,Eastern and Midland,000 Hectares,9.7
Area Farmed in June,2015,Total oats,Dublin and Mid-East,000 Hectares,7.4
Area Farmed in June,2015,Total oats,Midland,000 Hectares,2.3
Area Farmed in June,2015,Winter oats,State,000 Hectares,11.4
Area Farmed in June,2015,Winter oats,Northern and Western,000 Hectares,0.3
Area Farmed in June,2015,Winter oats,Border,000 Hectares,0.2
Area Farmed in June,2015,Winter oats,West,000 Hectares,0.1
Area Farmed in June,2015,Winter oats,Southern,000 Hectares,5.5
Area Farmed in June,2015,Winter oats,Mid-West,000 Hectares,1.1
Area Farmed in June,2015,Winter oats,South-East,000 Hectares,3.3
Area Farmed in June,2015,Winter oats,South-West,000 Hectares,1.1
Area Farmed in June,2015,Winter oats,Eastern and Midland,000 Hectares,5.6
Area Farmed in June,2015,Winter oats,Dublin and Mid-East,000 Hectares,4.6
Area Farmed in June,2015,Winter oats,Midland,000 Hectares,1.0
Area Farmed in June,2015,Spring oats,State,000 Hectares,12.1
Area Farmed in June,2015,Spring oats,Northern and Western,000 Hectares,1.6
Area Farmed in June,2015,Spring oats,Border,000 Hectares,0.7
Area Farmed in June,2015,Spring oats,West,000 Hectares,0.9
Area Farmed in June,2015,Spring oats,Southern,000 Hectares,6.5
Area Farmed in June,2015,Spring oats,Mid-West,000 Hectares,0.9
Area Farmed in June,2015,Spring oats,South-East,000 Hectares,3.8
Area Farmed in June,2015,Spring oats,South-West,000 Hectares,1.8
Area Farmed in June,2015,Spring oats,Eastern and Midland,000 Hectares,4.1
Area Farmed in June,2015,Spring oats,Dublin and Mid-East,000 Hectares,2.8
Area Farmed in June,2015,Spring oats,Midland,000 Hectares,1.2
Area Farmed in June,2015,Total barley,State,000 Hectares,202.8
Area Farmed in June,2015,Total barley,Northern and Western,000 Hectares,8.4
Area Farmed in June,2015,Total barley,Border,000 Hectares,4.7
Area Farmed in June,2015,Total barley,West,000 Hectares,3.7
Area Farmed in June,2015,Total barley,Southern,000 Hectares,115.5
Area Farmed in June,2015,Total barley,Mid-West,000 Hectares,17.0
Area Farmed in June,2015,Total barley,South-East,000 Hectares,66.2
Area Farmed in June,2015,Total barley,South-West,000 Hectares,32.3
Area Farmed in June,2015,Total barley,Eastern and Midland,000 Hectares,78.8
Area Farmed in June,2015,Total barley,Dublin and Mid-East,000 Hectares,54.7
Area Farmed in June,2015,Total barley,Midland,000 Hectares,24.2
Area Farmed in June,2015,Winter barley,State,000 Hectares,69.8
Area Farmed in June,2015,Winter barley,Northern and Western,000 Hectares,2.3
Area Farmed in June,2015,Winter barley,Border,000 Hectares,1.6
Area Farmed in June,2015,Winter barley,West,000 Hectares,0.7
Area Farmed in June,2015,Winter barley,Southern,000 Hectares,35.5
Area Farmed in June,2015,Winter barley,Mid-West,000 Hectares,8.0
Area Farmed in June,2015,Winter barley,South-East,000 Hectares,16.5
Area Farmed in June,2015,Winter barley,South-West,000 Hectares,10.9
Area Farmed in June,2015,Winter barley,Eastern and Midland,000 Hectares,32.0
Area Farmed in June,2015,Winter barley,Dublin and Mid-East,000 Hectares,25.5
Area Farmed in June,2015,Winter barley,Midland,000 Hectares,6.5
Area Farmed in June,2015,Spring barley,State,000 Hectares,133.0
Area Farmed in June,2015,Spring barley,Northern and Western,000 Hectares,6.1
Area Farmed in June,2015,Spring barley,Border,000 Hectares,3.1
Area Farmed in June,2015,Spring barley,West,000 Hectares,3.1
Area Farmed in June,2015,Spring barley,Southern,000 Hectares,80.1
Area Farmed in June,2015,Spring barley,Mid-West,000 Hectares,9.0
Area Farmed in June,2015,Spring barley,South-East,000 Hectares,49.7
Area Farmed in June,2015,Spring barley,South-West,000 Hectares,21.4
Area Farmed in June,2015,Spring barley,Eastern and Midland,000 Hectares,46.9
Area Farmed in June,2015,Spring barley,Dublin and Mid-East,000 Hectares,29.2
Area Farmed in June,2015,Spring barley,Midland,000 Hectares,17.7
Area Farmed in June,2015,Other cereals,State,000 Hectares,0.9
Area Farmed in June,2015,Other cereals,Northern and Western,000 Hectares,0.1
Area Farmed in June,2015,Other cereals,Border,000 Hectares,0.0
Area Farmed in June,2015,Other cereals,West,000 Hectares,0.0
Area Farmed in June,2015,Other cereals,Southern,000 Hectares,0.3
Area Farmed in June,2015,Other cereals,Mid-West,000 Hectares,0.1
Area Farmed in June,2015,Other cereals,South-East,000 Hectares,0.1
Area Farmed in June,2015,Other cereals,South-West,000 Hectares,0.1
Area Farmed in June,2015,Other cereals,Eastern and Midland,000 Hectares,0.5
Area Farmed in June,2015,Other cereals,Dublin and Mid-East,000 Hectares,0.3
Area Farmed in June,2015,Other cereals,Midland,000 Hectares,0.2
Area Farmed in June,2015,Rough grazing in use,State,000 Hectares,503.6
Area Farmed in June,2015,Rough grazing in use,Northern and Western,000 Hectares,242.7
Area Farmed in June,2015,Rough grazing in use,Border,000 Hectares,120.0
Area Farmed in June,2015,Rough grazing in use,West,000 Hectares,122.7
Area Farmed in June,2015,Rough grazing in use,Southern,000 Hectares,198.6
Area Farmed in June,2015,Rough grazing in use,Mid-West,000 Hectares,48.7
Area Farmed in June,2015,Rough grazing in use,South-East,000 Hectares,22.3
Area Farmed in June,2015,Rough grazing in use,South-West,000 Hectares,127.6
Area Farmed in June,2015,Rough grazing in use,Eastern and Midland,000 Hectares,62.2
Area Farmed in June,2015,Rough grazing in use,Dublin and Mid-East,000 Hectares,32.6
Area Farmed in June,2015,Rough grazing in use,Midland,000 Hectares,29.6
Area Farmed in June,2016,Area farmed (AAU),State,000 Hectares,4461.2
Area Farmed in June,2016,Area farmed (AAU),Northern and Western,000 Hectares,1483.4
Area Farmed in June,2016,Area farmed (AAU),Border,000 Hectares,680.6
Area Farmed in June,2016,Area farmed (AAU),West,000 Hectares,802.8
Area Farmed in June,2016,Area farmed (AAU),Southern,000 Hectares,2016.3
Area Farmed in June,2016,Area farmed (AAU),Mid-West,000 Hectares,728.3
Area Farmed in June,2016,Area farmed (AAU),South-East,000 Hectares,506.7
Area Farmed in June,2016,Area farmed (AAU),South-West,000 Hectares,781.3
Area Farmed in June,2016,Area farmed (AAU),Eastern and Midland,000 Hectares,961.6
Area Farmed in June,2016,Area farmed (AAU),Dublin and Mid-East,000 Hectares,498.2
Area Farmed in June,2016,Area farmed (AAU),Midland,000 Hectares,463.4
Area Farmed in June,2016,Crops and pasture,State,000 Hectares,3928.8
Area Farmed in June,2016,Crops and pasture,Northern and Western,000 Hectares,1237.9
Area Farmed in June,2016,Crops and pasture,Border,000 Hectares,557.9
Area Farmed in June,2016,Crops and pasture,West,000 Hectares,680.0
Area Farmed in June,2016,Crops and pasture,Southern,000 Hectares,1814.2
Area Farmed in June,2016,Crops and pasture,Mid-West,000 Hectares,679.3
Area Farmed in June,2016,Crops and pasture,South-East,000 Hectares,484.3
Area Farmed in June,2016,Crops and pasture,South-West,000 Hectares,650.7
Area Farmed in June,2016,Crops and pasture,Eastern and Midland,000 Hectares,876.6
Area Farmed in June,2016,Crops and pasture,Dublin and Mid-East,000 Hectares,461.2
Area Farmed in June,2016,Crops and pasture,Midland,000 Hectares,415.4
Area Farmed in June,2016,Pasture,State,000 Hectares,2307.8
Area Farmed in June,2016,Pasture,Northern and Western,000 Hectares,838.3
Area Farmed in June,2016,Pasture,Border,000 Hectares,376.8
Area Farmed in June,2016,Pasture,West,000 Hectares,461.6
Area Farmed in June,2016,Pasture,Southern,000 Hectares,1003.8
Area Farmed in June,2016,Pasture,Mid-West,000 Hectares,392.7
Area Farmed in June,2016,Pasture,South-East,000 Hectares,243.8
Area Farmed in June,2016,Pasture,South-West,000 Hectares,367.3
Area Farmed in June,2016,Pasture,Eastern and Midland,000 Hectares,465.7
Area Farmed in June,2016,Pasture,Dublin and Mid-East,000 Hectares,232.0
Area Farmed in June,2016,Pasture,Midland,000 Hectares,233.7
Area Farmed in June,2016,Hay,State,000 Hectares,188.4
Area Farmed in June,2016,Hay,Northern and Western,000 Hectares,52.3
Area Farmed in June,2016,Hay,Border,000 Hectares,24.8
Area Farmed in June,2016,Hay,West,000 Hectares,27.6
Area Farmed in June,2016,Hay,Southern,000 Hectares,90.7
Area Farmed in June,2016,Hay,Mid-West,000 Hectares,58.3
Area Farmed in June,2016,Hay,South-East,000 Hectares,16.2
Area Farmed in June,2016,Hay,South-West,000 Hectares,16.2
Area Farmed in June,2016,Hay,Eastern and Midland,000 Hectares,45.4
Area Farmed in June,2016,Hay,Dublin and Mid-East,000 Hectares,22.0
Area Farmed in June,2016,Hay,Midland,000 Hectares,23.4
Area Farmed in June,2016,Grass silage,State,000 Hectares,1066.8
Area Farmed in June,2016,Grass silage,Northern and Western,000 Hectares,329.2
Area Farmed in June,2016,Grass silage,Border,000 Hectares,147.2
Area Farmed in June,2016,Grass silage,West,000 Hectares,181.9
Area Farmed in June,2016,Grass silage,Southern,000 Hectares,534.8
Area Farmed in June,2016,Grass silage,Mid-West,000 Hectares,199.5
Area Farmed in June,2016,Grass silage,South-East,000 Hectares,120.9
Area Farmed in June,2016,Grass silage,South-West,000 Hectares,214.4
Area Farmed in June,2016,Grass silage,Eastern and Midland,000 Hectares,202.8
Area Farmed in June,2016,Grass silage,Dublin and Mid-East,000 Hectares,82.8
Area Farmed in June,2016,Grass silage,Midland,000 Hectares,120.0
Area Farmed in June,2016,"Total crops, fruit and horticulture",State,000 Hectares,365.8
Area Farmed in June,2016,"Total crops, fruit and horticulture",Northern and Western,000 Hectares,18.1
Area Farmed in June,2016,"Total crops, fruit and horticulture",Border,000 Hectares,9.1
Area Farmed in June,2016,"Total crops, fruit and horticulture",West,000 Hectares,8.9
Area Farmed in June,2016,"Total crops, fruit and horticulture",Southern,000 Hectares,185.0
Area Farmed in June,2016,"Total crops, fruit and horticulture",Mid-West,000 Hectares,28.8
Area Farmed in June,2016,"Total crops, fruit and horticulture",South-East,000 Hectares,103.4
Area Farmed in June,2016,"Total crops, fruit and horticulture",South-West,000 Hectares,52.8
Area Farmed in June,2016,"Total crops, fruit and horticulture",Eastern and Midland,000 Hectares,162.7
Area Farmed in June,2016,"Total crops, fruit and horticulture",Dublin and Mid-East,000 Hectares,124.5
Area Farmed in June,2016,"Total crops, fruit and horticulture",Midland,000 Hectares,38.3
Area Farmed in June,2016,Beans and peas,State,000 Hectares,12.5
Area Farmed in June,2016,Beans and peas,Northern and Western,000 Hectares,0.1
Area Farmed in June,2016,Beans and peas,Border,000 Hectares,0.1
Area Farmed in June,2016,Beans and peas,West,000 Hectares,0.0
Area Farmed in June,2016,Beans and peas,Southern,000 Hectares,6.5
Area Farmed in June,2016,Beans and peas,Mid-West,000 Hectares,0.7
Area Farmed in June,2016,Beans and peas,South-East,000 Hectares,4.2
Area Farmed in June,2016,Beans and peas,South-West,000 Hectares,1.6
Area Farmed in June,2016,Beans and peas,Eastern and Midland,000 Hectares,5.9
Area Farmed in June,2016,Beans and peas,Dublin and Mid-East,000 Hectares,4.8
Area Farmed in June,2016,Beans and peas,Midland,000 Hectares,1.0
Area Farmed in June,2016,Oilseed rape,State,000 Hectares,9.9
Area Farmed in June,2016,Oilseed rape,Northern and Western,000 Hectares,0.1
Area Farmed in June,2016,Oilseed rape,Border,000 Hectares,0.0
Area Farmed in June,2016,Oilseed rape,West,000 Hectares,0.0
Area Farmed in June,2016,Oilseed rape,Southern,000 Hectares,4.2
Area Farmed in June,2016,Oilseed rape,Mid-West,000 Hectares,0.6
Area Farmed in June,2016,Oilseed rape,South-East,000 Hectares,3.1
Area Farmed in June,2016,Oilseed rape,South-West,000 Hectares,0.5
Area Farmed in June,2016,Oilseed rape,Eastern and Midland,000 Hectares,5.6
Area Farmed in June,2016,Oilseed rape,Dublin and Mid-East,000 Hectares,4.9
Area Farmed in June,2016,Oilseed rape,Midland,000 Hectares,0.7
Area Farmed in June,2016,Arable silage,State,000 Hectares,3.5
Area Farmed in June,2016,Arable silage,Northern and Western,000 Hectares,0.8
Area Farmed in June,2016,Arable silage,Border,000 Hectares,0.6
Area Farmed in June,2016,Arable silage,West,000 Hectares,0.2
Area Farmed in June,2016,Arable silage,Southern,000 Hectares,1.8
Area Farmed in June,2016,Arable silage,Mid-West,000 Hectares,0.3
Area Farmed in June,2016,Arable silage,South-East,000 Hectares,0.7
Area Farmed in June,2016,Arable silage,South-West,000 Hectares,0.7
Area Farmed in June,2016,Arable silage,Eastern and Midland,000 Hectares,0.9
Area Farmed in June,2016,Arable silage,Dublin and Mid-East,000 Hectares,0.4
Area Farmed in June,2016,Arable silage,Midland,000 Hectares,0.5
Area Farmed in June,2016,Maize silage,State,000 Hectares,10.9
Area Farmed in June,2016,Maize silage,Northern and Western,000 Hectares,0.2
Area Farmed in June,2016,Maize silage,Border,000 Hectares,0.1
Area Farmed in June,2016,Maize silage,West,000 Hectares,0.1
Area Farmed in June,2016,Maize silage,Southern,000 Hectares,7.2
Area Farmed in June,2016,Maize silage,Mid-West,000 Hectares,1.0
Area Farmed in June,2016,Maize silage,South-East,000 Hectares,3.1
Area Farmed in June,2016,Maize silage,South-West,000 Hectares,3.1
Area Farmed in June,2016,Maize silage,Eastern and Midland,000 Hectares,3.6
Area Farmed in June,2016,Maize silage,Dublin and Mid-East,000 Hectares,2.9
Area Farmed in June,2016,Maize silage,Midland,000 Hectares,0.7
Area Farmed in June,2016,Fodder rape and kale,State,000 Hectares,1.6
Area Farmed in June,2016,Fodder rape and kale,Northern and Western,000 Hectares,0.3
Area Farmed in June,2016,Fodder rape and kale,Border,000 Hectares,0.0
Area Farmed in June,2016,Fodder rape and kale,West,000 Hectares,0.2
Area Farmed in June,2016,Fodder rape and kale,Southern,000 Hectares,0.8
Area Farmed in June,2016,Fodder rape and kale,Mid-West,000 Hectares,0.1
Area Farmed in June,2016,Fodder rape and kale,South-East,000 Hectares,0.4
Area Farmed in June,2016,Fodder rape and kale,South-West,000 Hectares,0.2
Area Farmed in June,2016,Fodder rape and kale,Eastern and Midland,000 Hectares,0.6
Area Farmed in June,2016,Fodder rape and kale,Dublin and Mid-East,000 Hectares,0.3
Area Farmed in June,2016,Fodder rape and kale,Midland,000 Hectares,0.3
Area Farmed in June,2016,Potatoes,State,000 Hectares,9.0
Area Farmed in June,2016,Potatoes,Northern and Western,000 Hectares,1.1
Area Farmed in June,2016,Potatoes,Border,000 Hectares,1.0
Area Farmed in June,2016,Potatoes,West,000 Hectares,0.1
Area Farmed in June,2016,Potatoes,Southern,000 Hectares,3.0
Area Farmed in June,2016,Potatoes,Mid-West,000 Hectares,0.3
Area Farmed in June,2016,Potatoes,South-East,000 Hectares,1.9
Area Farmed in June,2016,Potatoes,South-West,000 Hectares,0.8
Area Farmed in June,2016,Potatoes,Eastern and Midland,000 Hectares,5.0
Area Farmed in June,2016,Potatoes,Dublin and Mid-East,000 Hectares,4.8
Area Farmed in June,2016,Potatoes,Midland,000 Hectares,0.2
Area Farmed in June,2016,Turnips,State,000 Hectares,1.1
Area Farmed in June,2016,Turnips,Northern and Western,000 Hectares,0.1
Area Farmed in June,2016,Turnips,Border,000 Hectares,0.0
Area Farmed in June,2016,Turnips,West,000 Hectares,0.1
Area Farmed in June,2016,Turnips,Southern,000 Hectares,0.5
Area Farmed in June,2016,Turnips,Mid-West,000 Hectares,0.0
Area Farmed in June,2016,Turnips,South-East,000 Hectares,0.3
Area Farmed in June,2016,Turnips,South-West,000 Hectares,0.2
Area Farmed in June,2016,Turnips,Eastern and Midland,000 Hectares,0.4
Area Farmed in June,2016,Turnips,Dublin and Mid-East,000 Hectares,0.3
Area Farmed in June,2016,Turnips,Midland,000 Hectares,0.1
Area Farmed in June,2016,Beet,State,000 Hectares,9.5
Area Farmed in June,2016,Beet,Northern and Western,000 Hectares,0.2
Area Farmed in June,2016,Beet,Border,000 Hectares,0.0
Area Farmed in June,2016,Beet,West,000 Hectares,0.2
Area Farmed in June,2016,Beet,Southern,000 Hectares,6.5
Area Farmed in June,2016,Beet,Mid-West,000 Hectares,0.6
Area Farmed in June,2016,Beet,South-East,000 Hectares,3.3
Area Farmed in June,2016,Beet,South-West,000 Hectares,2.6
Area Farmed in June,2016,Beet,Eastern and Midland,000 Hectares,2.8
Area Farmed in June,2016,Beet,Dublin and Mid-East,000 Hectares,1.3
Area Farmed in June,2016,Beet,Midland,000 Hectares,1.5
Area Farmed in June,2016,Vegetables for sale,State,000 Hectares,3.6
Area Farmed in June,2016,Vegetables for sale,Northern and Western,000 Hectares,0.2
Area Farmed in June,2016,Vegetables for sale,Border,000 Hectares,0.0
Area Farmed in June,2016,Vegetables for sale,West,000 Hectares,0.1
Area Farmed in June,2016,Vegetables for sale,Southern,000 Hectares,1.1
Area Farmed in June,2016,Vegetables for sale,Mid-West,000 Hectares,0.0
Area Farmed in June,2016,Vegetables for sale,South-East,000 Hectares,0.8
