Statistic,Year,State,UNIT,VALUE
Crops - Other Fresh Vegetables,2005,State,Euro Million,89.3
Crops - Other Fresh Vegetables,2006,State,Euro Million,89.6
Crops - Other Fresh Vegetables,2007,State,Euro Million,94.8
Crops - Other Fresh Vegetables,2008,State,Euro Million,94.7
Crops - Other Fresh Vegetables,2009,State,Euro Million,108.4
Crops - Other Fresh Vegetables,2010,State,Euro Million,87.9
Crops - Other Fresh Vegetables,2011,State,Euro Million,90.7
Crops - Other Fresh Vegetables,2012,State,Euro Million,83.5
Crops - Other Fresh Vegetables,2013,State,Euro Million,87.7
Crops - Other Fresh Vegetables,2014,State,Euro Million,93.9
Crops - Other Fresh Vegetables,2015,State,Euro Million,100.0
Crops - Other Fresh Vegetables,2016,State,Euro Million,106.3
Crops - Other Fresh Vegetables,2017,State,Euro Million,103.4
Crops - Other Fresh Vegetables,2018,State,Euro Million,109.1
Crops - Other Fresh Vegetables,2019,State,Euro Million,108.1
Crops - Other Fresh Vegetables,2020,State,Euro Million,115.5
Crops - Other Fresh Vegetables,2021,State,Euro Million,
Crops - Fresh Fruit,1990,State,Euro Million,13.0
Crops - Fresh Fruit,1991,State,Euro Million,14.1
Crops - Fresh Fruit,1992,State,Euro Million,11.7
Crops - Fresh Fruit,1993,State,Euro Million,9.8
Crops - Fresh Fruit,1994,State,Euro Million,14.3
Crops - Fresh Fruit,1995,State,Euro Million,18.5
Crops - Fresh Fruit,1996,State,Euro Million,20.5
Crops - Fresh Fruit,1997,State,Euro Million,9.6
Crops - Fresh Fruit,1998,State,Euro Million,15.5
Crops - Fresh Fruit,1999,State,Euro Million,8.4
Crops - Fresh Fruit,2000,State,Euro Million,7.1
Crops - Fresh Fruit,2001,State,Euro Million,17.0
Crops - Fresh Fruit,2002,State,Euro Million,22.9
Crops - Fresh Fruit,2003,State,Euro Million,30.4
Crops - Fresh Fruit,2004,State,Euro Million,28.9
Crops - Fresh Fruit,2005,State,Euro Million,34.0
Crops - Fresh Fruit,2006,State,Euro Million,40.8
Crops - Fresh Fruit,2007,State,Euro Million,33.0
Crops - Fresh Fruit,2008,State,Euro Million,33.2
Crops - Fresh Fruit,2009,State,Euro Million,32.5
Crops - Fresh Fruit,2010,State,Euro Million,35.2
Crops - Fresh Fruit,2011,State,Euro Million,34.9
Crops - Fresh Fruit,2012,State,Euro Million,46.4
Crops - Fresh Fruit,2013,State,Euro Million,48.9
Crops - Fresh Fruit,2014,State,Euro Million,49.9
Crops - Fresh Fruit,2015,State,Euro Million,50.8
Crops - Fresh Fruit,2016,State,Euro Million,51.1
Crops - Fresh Fruit,2017,State,Euro Million,54.4
Crops - Fresh Fruit,2018,State,Euro Million,51.3
Crops - Fresh Fruit,2019,State,Euro Million,55.1
Crops - Fresh Fruit,2020,State,Euro Million,56.1
Crops - Fresh Fruit,2021,State,Euro Million,
Crops - Turf,1990,State,Euro Million,44.8
Crops - Turf,1991,State,Euro Million,47.7
Crops - Turf,1992,State,Euro Million,45.8
Crops - Turf,1993,State,Euro Million,39.8
Crops - Turf,1994,State,Euro Million,30.6
Crops - Turf,1995,State,Euro Million,30.8
Crops - Turf,1996,State,Euro Million,30.2
Crops - Turf,1997,State,Euro Million,28.0
Crops - Turf,1998,State,Euro Million,22.0
Crops - Turf,1999,State,Euro Million,24.1
Crops - Turf,2000,State,Euro Million,22.5
Crops - Turf,2001,State,Euro Million,26.5
Crops - Turf,2002,State,Euro Million,27.9
Crops - Turf,2003,State,Euro Million,34.2
Crops - Turf,2004,State,Euro Million,33.5
Crops - Turf,2005,State,Euro Million,32.7
Crops - Turf,2006,State,Euro Million,35.9
Crops - Turf,2007,State,Euro Million,32.8
Crops - Turf,2008,State,Euro Million,33.2
Crops - Turf,2009,State,Euro Million,34.8
Crops - Turf,2010,State,Euro Million,34.2
Crops - Turf,2011,State,Euro Million,35.0
Crops - Turf,2012,State,Euro Million,32.6
Crops - Turf,2013,State,Euro Million,0.0
Crops - Turf,2014,State,Euro Million,0.0
Crops - Turf,2015,State,Euro Million,
Crops - Turf,2016,State,Euro Million,
Crops - Turf,2017,State,Euro Million,
Crops - Turf,2018,State,Euro Million,
Crops - Turf,2019,State,Euro Million,
Crops - Turf,2020,State,Euro Million,
Crops - Turf,2021,State,Euro Million,
Crops - Other Crops,1990,State,Euro Million,23.2
Crops - Other Crops,1991,State,Euro Million,22.8
Crops - Other Crops,1992,State,Euro Million,21.3
Crops - Other Crops,1993,State,Euro Million,20.6
Crops - Other Crops,1994,State,Euro Million,19.4
Crops - Other Crops,1995,State,Euro Million,27.1
Crops - Other Crops,1996,State,Euro Million,35.7
Crops - Other Crops,1997,State,Euro Million,36.4
Crops - Other Crops,1998,State,Euro Million,36.1
Crops - Other Crops,1999,State,Euro Million,44.2
Crops - Other Crops,2000,State,Euro Million,41.4
Crops - Other Crops,2001,State,Euro Million,42.7
Crops - Other Crops,2002,State,Euro Million,43.6
Crops - Other Crops,2003,State,Euro Million,44.7
Crops - Other Crops,2004,State,Euro Million,52.5
Crops - Other Crops,2005,State,Euro Million,51.5
Crops - Other Crops,2006,State,Euro Million,53.7
Crops - Other Crops,2007,State,Euro Million,62.7
Crops - Other Crops,2008,State,Euro Million,62.8
Crops - Other Crops,2009,State,Euro Million,57.3
Crops - Other Crops,2010,State,Euro Million,58.4
Crops - Other Crops,2011,State,Euro Million,72.1
Crops - Other Crops,2012,State,Euro Million,64.3
Crops - Other Crops,2013,State,Euro Million,60.1
Crops - Other Crops,2014,State,Euro Million,59.0
Crops - Other Crops,2015,State,Euro Million,65.2
Crops - Other Crops,2016,State,Euro Million,72.1
Crops - Other Crops,2017,State,Euro Million,79.2
Crops - Other Crops,2018,State,Euro Million,80.5
Crops - Other Crops,2019,State,Euro Million,82.3
Crops - Other Crops,2020,State,Euro Million,96.7
Crops - Other Crops,2021,State,Euro Million,
Crops - Forage Plants,1990,State,Euro Million,572.0
Crops - Forage Plants,1991,State,Euro Million,544.1
Crops - Forage Plants,1992,State,Euro Million,552.9
Crops - Forage Plants,1993,State,Euro Million,592.7
Crops - Forage Plants,1994,State,Euro Million,623.7
Crops - Forage Plants,1995,State,Euro Million,638.6
Crops - Forage Plants,1996,State,Euro Million,652.0
Crops - Forage Plants,1997,State,Euro Million,584.3
Crops - Forage Plants,1998,State,Euro Million,566.0
Crops - Forage Plants,1999,State,Euro Million,582.2
Crops - Forage Plants,2000,State,Euro Million,649.9
Crops - Forage Plants,2001,State,Euro Million,695.1
Crops - Forage Plants,2002,State,Euro Million,629.2
Crops - Forage Plants,2003,State,Euro Million,644.2
Crops - Forage Plants,2004,State,Euro Million,690.7
Crops - Forage Plants,2005,State,Euro Million,789.5
Crops - Forage Plants,2006,State,Euro Million,877.4
Crops - Forage Plants,2007,State,Euro Million,964.1
Crops - Forage Plants,2008,State,Euro Million,1053.6
Crops - Forage Plants,2009,State,Euro Million,852.3
Crops - Forage Plants,2010,State,Euro Million,1045.2
Crops - Forage Plants,2011,State,Euro Million,1007.3
Crops - Forage Plants,2012,State,Euro Million,1007.6
Crops - Forage Plants,2013,State,Euro Million,1294.3
Crops - Forage Plants,2014,State,Euro Million,1041.8
Crops - Forage Plants,2015,State,Euro Million,1004.0
Crops - Forage Plants,2016,State,Euro Million,1049.4
Crops - Forage Plants,2017,State,Euro Million,1105.7
Crops - Forage Plants,2018,State,Euro Million,1340.3
Crops - Forage Plants,2019,State,Euro Million,1045.4
Crops - Forage Plants,2020,State,Euro Million,1143.0
Crops - Forage Plants,2021,State,Euro Million,1200.3
Goods Output at Producer Prices,1990,State,Euro Million,4685.4
Goods Output at Producer Prices,1991,State,Euro Million,4543.3
Goods Output at Producer Prices,1992,State,Euro Million,4827.6
Goods Output at Producer Prices,1993,State,Euro Million,5028.0
Goods Output at Producer Prices,1994,State,Euro Million,4963.9
Goods Output at Producer Prices,1995,State,Euro Million,5147.1
Goods Output at Producer Prices,1996,State,Euro Million,5160.8
Goods Output at Producer Prices,1997,State,Euro Million,4759.0
Goods Output at Producer Prices,1998,State,Euro Million,4746.3
Goods Output at Producer Prices,1999,State,Euro Million,4690.3
Goods Output at Producer Prices,2000,State,Euro Million,4883.5
Goods Output at Producer Prices,2001,State,Euro Million,5101.8
Goods Output at Producer Prices,2002,State,Euro Million,4711.1
Goods Output at Producer Prices,2003,State,Euro Million,4838.7
Goods Output at Producer Prices,2004,State,Euro Million,5022.8
Goods Output at Producer Prices,2005,State,Euro Million,5041.4
Goods Output at Producer Prices,2006,State,Euro Million,5228.3
Goods Output at Producer Prices,2007,State,Euro Million,5727.5
Goods Output at Producer Prices,2008,State,Euro Million,5880.3
Goods Output at Producer Prices,2009,State,Euro Million,4754.6
Goods Output at Producer Prices,2010,State,Euro Million,5513.5
Goods Output at Producer Prices,2011,State,Euro Million,6251.8
Goods Output at Producer Prices,2012,State,Euro Million,6541.8
Goods Output at Producer Prices,2013,State,Euro Million,7346.3
Goods Output at Producer Prices,2014,State,Euro Million,6968.9
Goods Output at Producer Prices,2015,State,Euro Million,7139.1
Goods Output at Producer Prices,2016,State,Euro Million,7065.5
Goods Output at Producer Prices,2017,State,Euro Million,8085.7
Goods Output at Producer Prices,2018,State,Euro Million,8196.7
Goods Output at Producer Prices,2019,State,Euro Million,7955.7
Goods Output at Producer Prices,2020,State,Euro Million,8366.7
Goods Output at Producer Prices,2021,State,Euro Million,9472.5
Contract Work,1990,State,Euro Million,180.7
Contract Work,1991,State,Euro Million,172.0
Contract Work,1992,State,Euro Million,179.8
Contract Work,1993,State,Euro Million,199.5
Contract Work,1994,State,Euro Million,205.3
Contract Work,1995,State,Euro Million,212.5
Contract Work,1996,State,Euro Million,220.9
Contract Work,1997,State,Euro Million,225.2
Contract Work,1998,State,Euro Million,225.3
Contract Work,1999,State,Euro Million,245.4
Contract Work,2000,State,Euro Million,258.1
Contract Work,2001,State,Euro Million,279.3
Contract Work,2002,State,Euro Million,248.3
Contract Work,2003,State,Euro Million,247.9
Contract Work,2004,State,Euro Million,261.1
Contract Work,2005,State,Euro Million,270.1
Contract Work,2006,State,Euro Million,271.5
Contract Work,2007,State,Euro Million,288.3
Contract Work,2008,State,Euro Million,281.0
Contract Work,2009,State,Euro Million,268.7
Contract Work,2010,State,Euro Million,319.1
Contract Work,2011,State,Euro Million,335.4
Contract Work,2012,State,Euro Million,323.8
Contract Work,2013,State,Euro Million,365.8
Contract Work,2014,State,Euro Million,358.7
Contract Work,2015,State,Euro Million,348.0
Contract Work,2016,State,Euro Million,371.7
Contract Work,2017,State,Euro Million,379.8
Contract Work,2018,State,Euro Million,453.2
Contract Work,2019,State,Euro Million,461.2
Contract Work,2020,State,Euro Million,447.0
Contract Work,2021,State,Euro Million,447.0
Subsidies on Products,1990,State,Euro Million,408.9
Subsidies on Products,1991,State,Euro Million,357.3
Subsidies on Products,1992,State,Euro Million,446.0
Subsidies on Products,1993,State,Euro Million,466.4
Subsidies on Products,1994,State,Euro Million,666.0
Subsidies on Products,1995,State,Euro Million,735.6
Subsidies on Products,1996,State,Euro Million,806.0
Subsidies on Products,1997,State,Euro Million,808.7
Subsidies on Products,1998,State,Euro Million,899.6
Subsidies on Products,1999,State,Euro Million,743.7
Subsidies on Products,2000,State,Euro Million,876.7
Subsidies on Products,2001,State,Euro Million,710.8
Subsidies on Products,2002,State,Euro Million,904.1
Subsidies on Products,2003,State,Euro Million,928.4
Subsidies on Products,2004,State,Euro Million,912.1
Subsidies on Products,2005,State,Euro Million,453.4
Subsidies on Products,2006,State,Euro Million,3.8
Subsidies on Products,2007,State,Euro Million,0.7
Subsidies on Products,2008,State,Euro Million,32.4
Subsidies on Products,2009,State,Euro Million,30.0
Subsidies on Products,2010,State,Euro Million,31.8
Subsidies on Products,2011,State,Euro Million,31.0
Subsidies on Products,2012,State,Euro Million,28.5
Subsidies on Products,2013,State,Euro Million,9.4
Subsidies on Products,2014,State,Euro Million,28.8
Subsidies on Products,2015,State,Euro Million,43.2
Subsidies on Products,2016,State,Euro Million,55.9
Subsidies on Products,2017,State,Euro Million,60.5
Subsidies on Products,2018,State,Euro Million,65.1
Subsidies on Products,2019,State,Euro Million,150.6
Subsidies on Products,2020,State,Euro Million,147.2
Subsidies on Products,2021,State,Euro Million,
Taxes on Products,1990,State,Euro Million,75.0
Taxes on Products,1991,State,Euro Million,78.2
Taxes on Products,1992,State,Euro Million,79.5
Taxes on Products,1993,State,Euro Million,68.0
Taxes on Products,1994,State,Euro Million,53.7
Taxes on Products,1995,State,Euro Million,59.6
Taxes on Products,1996,State,Euro Million,53.0
Taxes on Products,1997,State,Euro Million,39.8
Taxes on Products,1998,State,Euro Million,39.4
Taxes on Products,1999,State,Euro Million,27.9
Taxes on Products,2000,State,Euro Million,32.8
Taxes on Products,2001,State,Euro Million,25.0
Taxes on Products,2002,State,Euro Million,27.4
Taxes on Products,2003,State,Euro Million,35.8
Taxes on Products,2004,State,Euro Million,39.1
Taxes on Products,2005,State,Euro Million,54.2
Taxes on Products,2006,State,Euro Million,36.8
Taxes on Products,2007,State,Euro Million,41.1
Taxes on Products,2008,State,Euro Million,50.7
Taxes on Products,2009,State,Euro Million,39.3
Taxes on Products,2010,State,Euro Million,42.3
Taxes on Products,2011,State,Euro Million,42.0
Taxes on Products,2012,State,Euro Million,56.7
Taxes on Products,2013,State,Euro Million,49.8
Taxes on Products,2014,State,Euro Million,62.5
Taxes on Products,2015,State,Euro Million,126.2
Taxes on Products,2016,State,Euro Million,48.8
Taxes on Products,2017,State,Euro Million,49.5
Taxes on Products,2018,State,Euro Million,51.2
Taxes on Products,2019,State,Euro Million,51.1
Taxes on Products,2020,State,Euro Million,52.6
Taxes on Products,2021,State,Euro Million,
Subsidies less Taxes on Products,1990,State,Euro Million,333.9
Subsidies less Taxes on Products,1991,State,Euro Million,279.1
Subsidies less Taxes on Products,1992,State,Euro Million,366.6
Subsidies less Taxes on Products,1993,State,Euro Million,398.4
Subsidies less Taxes on Products,1994,State,Euro Million,612.3
Subsidies less Taxes on Products,1995,State,Euro Million,676.0
Subsidies less Taxes on Products,1996,State,Euro Million,753.0
Subsidies less Taxes on Products,1997,State,Euro Million,769.0
Subsidies less Taxes on Products,1998,State,Euro Million,860.2
Subsidies less Taxes on Products,1999,State,Euro Million,715.8
Subsidies less Taxes on Products,2000,State,Euro Million,843.8
Subsidies less Taxes on Products,2001,State,Euro Million,685.8
Subsidies less Taxes on Products,2002,State,Euro Million,876.7
Subsidies less Taxes on Products,2003,State,Euro Million,892.5
Subsidies less Taxes on Products,2004,State,Euro Million,873.0
Subsidies less Taxes on Products,2005,State,Euro Million,399.2
Subsidies less Taxes on Products,2006,State,Euro Million,-33.1
Subsidies less Taxes on Products,2007,State,Euro Million,-40.4
Subsidies less Taxes on Products,2008,State,Euro Million,-18.3
Subsidies less Taxes on Products,2009,State,Euro Million,-9.3
Subsidies less Taxes on Products,2010,State,Euro Million,-10.5
Subsidies less Taxes on Products,2011,State,Euro Million,-11.0
Subsidies less Taxes on Products,2012,State,Euro Million,-28.1
Subsidies less Taxes on Products,2013,State,Euro Million,-40.5
Subsidies less Taxes on Products,2014,State,Euro Million,-33.7
Subsidies less Taxes on Products,2015,State,Euro Million,-82.9
Subsidies less Taxes on Products,2016,State,Euro Million,7.1
Subsidies less Taxes on Products,2017,State,Euro Million,11.0
Subsidies less Taxes on Products,2018,State,Euro Million,13.9
Subsidies less Taxes on Products,2019,State,Euro Million,99.5
Subsidies less Taxes on Products,2020,State,Euro Million,94.6
Subsidies less Taxes on Products,2021,State,Euro Million,53.4
Agricultural Output at Basic Prices,1990,State,Euro Million,5200.0
Agricultural Output at Basic Prices,1991,State,Euro Million,4994.4
Agricultural Output at Basic Prices,1992,State,Euro Million,5374.0
Agricultural Output at Basic Prices,1993,State,Euro Million,5625.9
Agricultural Output at Basic Prices,1994,State,Euro Million,5781.5
Agricultural Output at Basic Prices,1995,State,Euro Million,6035.5
Agricultural Output at Basic Prices,1996,State,Euro Million,6134.7
Agricultural Output at Basic Prices,1997,State,Euro Million,5753.1
Agricultural Output at Basic Prices,1998,State,Euro Million,5831.7
Agricultural Output at Basic Prices,1999,State,Euro Million,5651.4
Agricultural Output at Basic Prices,2000,State,Euro Million,5985.5
Agricultural Output at Basic Prices,2001,State,Euro Million,6066.8
Agricultural Output at Basic Prices,2002,State,Euro Million,5836.1
Agricultural Output at Basic Prices,2003,State,Euro Million,5979.1
Agricultural Output at Basic Prices,2004,State,Euro Million,6156.9
Agricultural Output at Basic Prices,2005,State,Euro Million,5710.7
Agricultural Output at Basic Prices,2006,State,Euro Million,5466.7
Agricultural Output at Basic Prices,2007,State,Euro Million,5975.4
Agricultural Output at Basic Prices,2008,State,Euro Million,6143.0
Agricultural Output at Basic Prices,2009,State,Euro Million,5014.0
Agricultural Output at Basic Prices,2010,State,Euro Million,5822.1
Agricultural Output at Basic Prices,2011,State,Euro Million,6576.2
Agricultural Output at Basic Prices,2012,State,Euro Million,6837.5
Agricultural Output at Basic Prices,2013,State,Euro Million,7671.6
Agricultural Output at Basic Prices,2014,State,Euro Million,7293.9
Agricultural Output at Basic Prices,2015,State,Euro Million,7404.2
Agricultural Output at Basic Prices,2016,State,Euro Million,7444.2
Agricultural Output at Basic Prices,2017,State,Euro Million,8476.4
Agricultural Output at Basic Prices,2018,State,Euro Million,8663.7
Agricultural Output at Basic Prices,2019,State,Euro Million,8516.4
Agricultural Output at Basic Prices,2020,State,Euro Million,8908.3
Agricultural Output at Basic Prices,2021,State,Euro Million,9972.9
Intermediate Consumption,1990,State,Euro Million,2461.9
Intermediate Consumption,1991,State,Euro Million,2423.3
Intermediate Consumption,1992,State,Euro Million,2438.9
Intermediate Consumption,1993,State,Euro Million,2607.9
Intermediate Consumption,1994,State,Euro Million,2796.3
Intermediate Consumption,1995,State,Euro Million,2926.9
Intermediate Consumption,1996,State,Euro Million,3098.9
Intermediate Consumption,1997,State,Euro Million,2929.9
Intermediate Consumption,1998,State,Euro Million,3015.1
Intermediate Consumption,1999,State,Euro Million,3111.0
Intermediate Consumption,2000,State,Euro Million,3207.5
Intermediate Consumption,2001,State,Euro Million,3469.4
Intermediate Consumption,2002,State,Euro Million,3413.3
Intermediate Consumption,2003,State,Euro Million,3464.7
Intermediate Consumption,2004,State,Euro Million,3516.1
Intermediate Consumption,2005,State,Euro Million,3744.7
Intermediate Consumption,2006,State,Euro Million,4014.7
Intermediate Consumption,2007,State,Euro Million,4225.7
Intermediate Consumption,2008,State,Euro Million,4700.0
Intermediate Consumption,2009,State,Euro Million,4190.6
Intermediate Consumption,2010,State,Euro Million,4433.4
Intermediate Consumption,2011,State,Euro Million,4706.8
Intermediate Consumption,2012,State,Euro Million,5054.0
Intermediate Consumption,2013,State,Euro Million,5670.0
Intermediate Consumption,2014,State,Euro Million,5119.8
Intermediate Consumption,2015,State,Euro Million,4932.6
Intermediate Consumption,2016,State,Euro Million,5085.1
Intermediate Consumption,2017,State,Euro Million,5317.9
Intermediate Consumption,2018,State,Euro Million,6044.1
Intermediate Consumption,2019,State,Euro Million,5662.2
Intermediate Consumption,2020,State,Euro Million,5679.9
Intermediate Consumption,2021,State,Euro Million,6072.2
Intermediate Consumption - Feeding Stuffs,1990,State,Euro Million,642.2
Intermediate Consumption - Feeding Stuffs,1991,State,Euro Million,646.5
Intermediate Consumption - Feeding Stuffs,1992,State,Euro Million,668.5
Intermediate Consumption - Feeding Stuffs,1993,State,Euro Million,733.5
Intermediate Consumption - Feeding Stuffs,1994,State,Euro Million,818.6
Intermediate Consumption - Feeding Stuffs,1995,State,Euro Million,809.5
Intermediate Consumption - Feeding Stuffs,1996,State,Euro Million,808.8
Intermediate Consumption - Feeding Stuffs,1997,State,Euro Million,749.7
Intermediate Consumption - Feeding Stuffs,1998,State,Euro Million,831.2
Intermediate Consumption - Feeding Stuffs,1999,State,Euro Million,860.9
Intermediate Consumption - Feeding Stuffs,2000,State,Euro Million,829.9
Intermediate Consumption - Feeding Stuffs,2001,State,Euro Million,882.0
Intermediate Consumption - Feeding Stuffs,2002,State,Euro Million,955.9
Intermediate Consumption - Feeding Stuffs,2003,State,Euro Million,923.0
Intermediate Consumption - Feeding Stuffs,2004,State,Euro Million,903.9
Intermediate Consumption - Feeding Stuffs,2005,State,Euro Million,865.1
Intermediate Consumption - Feeding Stuffs,2006,State,Euro Million,962.4
Intermediate Consumption - Feeding Stuffs,2007,State,Euro Million,1024.8
Intermediate Consumption - Feeding Stuffs,2008,State,Euro Million,1184.3
Intermediate Consumption - Feeding Stuffs,2009,State,Euro Million,1048.9
Intermediate Consumption - Feeding Stuffs,2010,State,Euro Million,1001.9
Intermediate Consumption - Feeding Stuffs,2011,State,Euro Million,1142.3
Intermediate Consumption - Feeding Stuffs,2012,State,Euro Million,1428.4
Intermediate Consumption - Feeding Stuffs,2013,State,Euro Million,1582.5
Intermediate Consumption - Feeding Stuffs,2014,State,Euro Million,1296.6
Intermediate Consumption - Feeding Stuffs,2015,State,Euro Million,1180.3
Intermediate Consumption - Feeding Stuffs,2016,State,Euro Million,1228.7
Intermediate Consumption - Feeding Stuffs,2017,State,Euro Million,1324.3
Intermediate Consumption - Feeding Stuffs,2018,State,Euro Million,1674.6
Intermediate Consumption - Feeding Stuffs,2019,State,Euro Million,1489.9
Intermediate Consumption - Feeding Stuffs,2020,State,Euro Million,1525.2
Intermediate Consumption - Feeding Stuffs,2021,State,Euro Million,1785.6
Intermediate Consumption - Fertilisers,1990,State,Euro Million,326.0
Intermediate Consumption - Fertilisers,1991,State,Euro Million,319.1
Intermediate Consumption - Fertilisers,1992,State,Euro Million,305.1
Intermediate Consumption - Fertilisers,1993,State,Euro Million,301.2
Intermediate Consumption - Fertilisers,1994,State,Euro Million,316.3
Intermediate Consumption - Fertilisers,1995,State,Euro Million,369.6
Intermediate Consumption - Fertilisers,1996,State,Euro Million,386.1
Intermediate Consumption - Fertilisers,1997,State,Euro Million,330.6
Intermediate Consumption - Fertilisers,1998,State,Euro Million,329.0
Intermediate Consumption - Fertilisers,1999,State,Euro Million,339.0
Intermediate Consumption - Fertilisers,2000,State,Euro Million,338.7
Intermediate Consumption - Fertilisers,2001,State,Euro Million,350.7
Intermediate Consumption - Fertilisers,2002,State,Euro Million,341.4
Intermediate Consumption - Fertilisers,2003,State,Euro Million,371.3
Intermediate Consumption - Fertilisers,2004,State,Euro Million,358.0
Intermediate Consumption - Fertilisers,2005,State,Euro Million,363.0
Intermediate Consumption - Fertilisers,2006,State,Euro Million,379.2
Intermediate Consumption - Fertilisers,2007,State,Euro Million,360.1
Intermediate Consumption - Fertilisers,2008,State,Euro Million,517.2
Intermediate Consumption - Fertilisers,2009,State,Euro Million,420.6
Intermediate Consumption - Fertilisers,2010,State,Euro Million,450.3
Intermediate Consumption - Fertilisers,2011,State,Euro Million,493.7
Intermediate Consumption - Fertilisers,2012,State,Euro Million,492.0
Intermediate Consumption - Fertilisers,2013,State,Euro Million,613.9
Intermediate Consumption - Fertilisers,2014,State,Euro Million,565.6
Intermediate Consumption - Fertilisers,2015,State,Euro Million,565.1
Intermediate Consumption - Fertilisers,2016,State,Euro Million,510.8
Intermediate Consumption - Fertilisers,2017,State,Euro Million,513.0
Intermediate Consumption - Fertilisers,2018,State,Euro Million,582.1
Intermediate Consumption - Fertilisers,2019,State,Euro Million,578.3
Intermediate Consumption - Fertilisers,2020,State,Euro Million,532.3
Intermediate Consumption - Fertilisers,2021,State,Euro Million,591.0
Intermediate Consumption - Financial Intermediation Services Indirect,1990,State,Euro Million,34.0
Intermediate Consumption - Financial Intermediation Services Indirect,1991,State,Euro Million,39.0
Intermediate Consumption - Financial Intermediation Services Indirect,1992,State,Euro Million,43.0
Intermediate Consumption - Financial Intermediation Services Indirect,1993,State,Euro Million,49.0
Intermediate Consumption - Financial Intermediation Services Indirect,1994,State,Euro Million,56.0
Intermediate Consumption - Financial Intermediation Services Indirect,1995,State,Euro Million,61.0
Intermediate Consumption - Financial Intermediation Services Indirect,1996,State,Euro Million,63.0
Intermediate Consumption - Financial Intermediation Services Indirect,1997,State,Euro Million,64.0
Intermediate Consumption - Financial Intermediation Services Indirect,1998,State,Euro Million,64.0
Intermediate Consumption - Financial Intermediation Services Indirect,1999,State,Euro Million,79.0
Intermediate Consumption - Financial Intermediation Services Indirect,2000,State,Euro Million,64.0
Intermediate Consumption - Financial Intermediation Services Indirect,2001,State,Euro Million,65.0
Intermediate Consumption - Financial Intermediation Services Indirect,2002,State,Euro Million,61.0
Intermediate Consumption - Financial Intermediation Services Indirect,2003,State,Euro Million,68.0
Intermediate Consumption - Financial Intermediation Services Indirect,2004,State,Euro Million,83.0
Intermediate Consumption - Financial Intermediation Services Indirect,2005,State,Euro Million,91.0
Intermediate Consumption - Financial Intermediation Services Indirect,2006,State,Euro Million,110.0
Intermediate Consumption - Financial Intermediation Services Indirect,2007,State,Euro Million,111.0
Intermediate Consumption - Financial Intermediation Services Indirect,2008,State,Euro Million,124.0
Intermediate Consumption - Financial Intermediation Services Indirect,2009,State,Euro Million,87.0
Intermediate Consumption - Financial Intermediation Services Indirect,2010,State,Euro Million,53.0
Intermediate Consumption - Financial Intermediation Services Indirect,2011,State,Euro Million,62.8
Intermediate Consumption - Financial Intermediation Services Indirect,2012,State,Euro Million,58.0
Intermediate Consumption - Financial Intermediation Services Indirect,2013,State,Euro Million,52.7
Intermediate Consumption - Financial Intermediation Services Indirect,2014,State,Euro Million,59.1
Intermediate Consumption - Financial Intermediation Services Indirect,2015,State,Euro Million,116.5
Intermediate Consumption - Financial Intermediation Services Indirect,2016,State,Euro Million,157.6
Intermediate Consumption - Financial Intermediation Services Indirect,2017,State,Euro Million,164.5
Intermediate Consumption - Financial Intermediation Services Indirect,2018,State,Euro Million,132.7
Intermediate Consumption - Financial Intermediation Services Indirect,2019,State,Euro Million,134.6
Intermediate Consumption - Financial Intermediation Services Indirect,2020,State,Euro Million,114.5
Intermediate Consumption - Financial Intermediation Services Indirect,2021,State,Euro Million,
Intermediate Consumption - Seeds,1990,State,Euro Million,42.0
Intermediate Consumption - Seeds,1991,State,Euro Million,43.8
Intermediate Consumption - Seeds,1992,State,Euro Million,46.4
Intermediate Consumption - Seeds,1993,State,Euro Million,46.9
Intermediate Consumption - Seeds,1994,State,Euro Million,50.0
Intermediate Consumption - Seeds,1995,State,Euro Million,60.6
Intermediate Consumption - Seeds,1996,State,Euro Million,66.1
Intermediate Consumption - Seeds,1997,State,Euro Million,65.8
Intermediate Consumption - Seeds,1998,State,Euro Million,66.2
Intermediate Consumption - Seeds,1999,State,Euro Million,55.6
Intermediate Consumption - Seeds,2000,State,Euro Million,59.7
Intermediate Consumption - Seeds,2001,State,Euro Million,73.3
Intermediate Consumption - Seeds,2002,State,Euro Million,74.3
Intermediate Consumption - Seeds,2003,State,Euro Million,81.4
Intermediate Consumption - Seeds,2004,State,Euro Million,84.3
Intermediate Consumption - Seeds,2005,State,Euro Million,85.5
Intermediate Consumption - Seeds,2006,State,Euro Million,92.6
Intermediate Consumption - Seeds,2007,State,Euro Million,105.6
Intermediate Consumption - Seeds,2008,State,Euro Million,110.5
Intermediate Consumption - Seeds,2009,State,Euro Million,86.7
Intermediate Consumption - Seeds,2010,State,Euro Million,51.7
Intermediate Consumption - Seeds,2011,State,Euro Million,56.3
Intermediate Consumption - Seeds,2012,State,Euro Million,63.6
Intermediate Consumption - Seeds,2013,State,Euro Million,75.5
Intermediate Consumption - Seeds,2014,State,Euro Million,67.2
Intermediate Consumption - Seeds,2015,State,Euro Million,68.3
Intermediate Consumption - Seeds,2016,State,Euro Million,70.2
Intermediate Consumption - Seeds,2017,State,Euro Million,67.4
Intermediate Consumption - Seeds,2018,State,Euro Million,74.6
Intermediate Consumption - Seeds,2019,State,Euro Million,85.6
